MovieID,Title,Genres,key,year,n_ratings,mean_rating
0,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,Toy Story,1995,49695,3.921239561
1,Jumanji,Adventure|Children|Fantasy,Jumanji,1995,22243,3.211976802
2,Grumpier Old Men,Comedy|Romance,Grumpier Old Men,1995,12735,3.15104044
3,Waiting to Exhale,Comedy|Drama|Romance,Waiting to Exhale,1995,2756,2.861393324
4,Father of the Bride Part II,Comedy,Father of the Bride Part II,1995,12161,3.064591728
5,Heat,Action|Crime|Thriller,Heat (1995),1995,23899,3.834930332
6,Sabrina,Comedy|Romance,Sabrina (1995),1995,12961,3.366484068
7,Tom and Huck,Adventure|Children,Tom and Huck,1995,1415,3.14204947
8,Sudden Death,Action,Sudden Death,1995,3960,3.004924242
9,GoldenEye,Action|Adventure|Thriller,GoldenEye,1995,29005,3.430029305
10,The American President,Comedy|Drama|Romance,The American President,1995,18162,3.667712807
11,Dracula: Dead and Loving It,Comedy|Horror,Dracula: Dead and Loving It,1995,3845,2.61976593
12,Balto,Adventure|Animation|Children,Balto,1995,1461,3.272416153
13,Nixon,Drama,Nixon,1995,6022,3.432082365
14,Cutthroat Island,Action|Adventure|Romance,Cutthroat Island,1995,2910,2.721993127
15,Casino,Crime|Drama,Casino,1995,17394,3.787455444
16,Sense and Sensibility,Drama|Romance,Sense and Sensibility,1995,20667,3.968573088
17,Four Rooms,Comedy,Four Rooms,1995,5203,3.373630598
18,Ace Ventura: When Nature Calls,Comedy,Ace Ventura: When Nature Calls,1995,20938,2.60741236
19,Money Train,Action|Comedy|Crime|Drama|Thriller,Money Train,1995,4084,2.880754163
20,Get Shorty,Comedy|Crime|Thriller,Get Shorty,1995,24116,3.581688506
21,Copycat,Crime|Drama|Horror|Mystery|Thriller,Copycat,1995,9928,3.319399678
22,Assassins,Action|Crime|Thriller,Assassins,1995,4250,3.148235294
23,Powder,Drama|Sci-Fi,Powder,1995,7971,3.199849454
24,Leaving Las Vegas,Drama|Romance,Leaving Las Vegas,1995,21553,3.689509581
25,Othello,Drama,Othello (1995),1995,2755,3.628856624
26,Now and Then,Children|Drama,Now and Then,1995,1642,3.413520097
27,Persuasion,Drama|Romance,Persuasion (1995),1995,3154,4.057545973
28,"City of Lost Children, The (Cité des enfants perdus, La)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,"City of Lost Children, The (Cité des enfants perdus, La)",1995,8520,3.952230047
29,Shanghai Triad (Yao a yao yao dao waipo qiao),Crime|Drama,Shanghai Triad (Yao a yao yao dao waipo qiao),1995,1281,3.633879781
30,Dangerous Minds,Drama,Dangerous Minds,1995,9435,3.250344462
31,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery|Sci-Fi|Thriller,Twelve Monkeys (a.k.a. 12 Monkeys),1995,44980,3.898054691
32,Wings of Courage,Adventure|Romance|IMAX,Wings of Courage,1995,65,3.007692308
33,Babe,Children|Drama,Babe,1995,32255,3.643094094
34,Carrington,Drama|Romance,Carrington,1995,1493,3.501674481
35,Dead Man Walking,Crime|Drama,Dead Man Walking,1995,20809,3.942717094
36,Across the Sea of Time,Documentary|IMAX,Across the Sea of Time,1995,85,3.017647059
37,It Takes Two,Children|Comedy,It Takes Two,1995,552,2.857789855
38,Clueless,Comedy|Romance,Clueless,1995,26254,3.413632208
39,"Cry, the Beloved Country",Drama,"Cry, the Beloved Country (1995)",1995,886,3.646726862
40,Richard III,Drama|War,Richard III (1995),1995,4689,3.852100661
41,Dead Presidents,Action|Crime|Drama,Dead Presidents,1995,2467,3.055127685
42,Restoration,Drama,Restoration,1995,2552,3.468456113
43,Mortal Kombat,Action|Adventure|Fantasy,Mortal Kombat,1995,10697,2.653874918
44,To Die For,Comedy|Drama|Thriller,To Die For,1995,8933,3.384361357
45,How to Make an American Quilt,Drama|Romance,How to Make an American Quilt,1995,3205,3.274882995
46,Seven (a.k.a. Se7en),Mystery|Thriller,Seven (a.k.a. Se7en),1995,43249,4.053492566
47,Pocahontas,Animation|Children|Drama|Musical|Romance,Pocahontas,1995,13046,2.946113751
48,When Night Is Falling,Drama|Romance,When Night Is Falling,1995,236,3.584745763
49,The Usual Suspects,Crime|Mystery|Thriller,The Usual Suspects,1995,47006,4.334372208
50,Guardian Angel,Action|Drama|Thriller,Guardian Angel,1994,27,2.555555556
51,Mighty Aphrodite,Comedy|Drama|Romance,Mighty Aphrodite,1995,9320,3.541148069
52,Lamerica,Adventure|Drama,Lamerica,1994,150,3.696666667
53,The Big Green,Children|Comedy,The Big Green,1995,956,2.85460251
54,Georgia,Drama,Georgia,1995,939,3.241214058
55,Kids of the Round Table,Adventure|Children|Fantasy,Kids of the Round Table,1995,70,1.871428571
56,Home for the Holidays,Drama,Home for the Holidays,1995,2439,3.324518245
57,"Postman, The (Postino, Il)",Comedy|Drama|Romance,"Postman, The (Postino, Il)",1994,11549,3.978396398
58,"Confessional, The (Confessionnal, Le)",Drama|Mystery,"Confessional, The (Confessionnal, Le)",1995,191,3.560209424
59,The Indian in the Cupboard,Adventure|Children|Fantasy,The Indian in the Cupboard,1995,6313,3.11444638
60,Eye for an Eye,Drama|Thriller,Eye for an Eye (1996),1996,2281,3.323103902
61,Mr. Holland's Opus,Drama,Mr. Holland's Opus,1995,19381,3.731824983
62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy|Crime,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,2334,3.066623822
63,Two if by Sea,Comedy|Romance,Two if by Sea,1996,2086,2.829817833
64,Bio-Dome,Comedy,Bio-Dome,1996,4864,2.394222862
65,Lawnmower Man 2: Beyond Cyberspace,Action|Sci-Fi|Thriller,Lawnmower Man 2: Beyond Cyberspace,1996,2371,2.144242935
66,Two Bits,Drama,Two Bits,1995,170,3.35
67,French Twist (Gazon maudit),Comedy|Romance,French Twist (Gazon maudit),1995,1238,3.436995153
68,Friday,Comedy,Friday,1995,4288,3.560634328
69,From Dusk Till Dawn,Action|Comedy|Horror|Thriller,From Dusk Till Dawn,1996,12712,3.277454374
70,Fair Game,Action,Fair Game (1995),1995,1295,2.355212355
71,Kicking and Screaming,Comedy|Drama,Kicking and Screaming,1995,1230,3.502439024
72,"Misérables, Les",Drama|War,"Misérables, Les (1995)",1995,2955,3.80676819
73,Bed of Roses,Drama|Romance,Bed of Roses,1996,3514,3.302219693
74,Big Bully,Comedy|Drama,Big Bully,1996,558,2.462365591
75,Screamers,Action|Sci-Fi|Thriller,Screamers (1995),1995,3380,3.009023669
76,Nico Icon,Documentary,Nico Icon,1995,221,3.429864253
77,The Crossing Guard,Action|Crime|Drama|Thriller,The Crossing Guard,1995,1226,3.180668842
78,The Juror,Drama|Thriller,The Juror,1996,5535,3.128545619
79,"White Balloon, The (Badkonake sefid)",Children|Drama,"White Balloon, The (Badkonake sefid)",1995,575,3.724347826
80,Things to Do in Denver When You're Dead,Crime|Drama|Romance,Things to Do in Denver When You're Dead,1995,3209,3.267373013
81,Antonia's Line (Antonia),Comedy|Drama,Antonia's Line (Antonia),1995,2538,4.004925138
82,Once Upon a Time... When We Were Colored,Drama|Romance,Once Upon a Time... When We Were Colored,1995,594,3.653198653
83,Last Summer in the Hamptons,Comedy|Drama,Last Summer in the Hamptons,1995,158,3.417721519
84,Angels and Insects,Drama|Romance,Angels and Insects,1995,2714,3.531134856
85,White Squall,Action|Adventure|Drama,White Squall,1996,4308,3.483402971
86,Dunston Checks In,Children|Comedy,Dunston Checks In,1996,976,2.359631148
87,Black Sheep,Comedy,Black Sheep (1996),1996,4864,3.107627467
88,Nick of Time,Action|Thriller,Nick of Time,1995,3247,3.139821374
89,The Journey of August King,Drama,The Journey of August King,1995,214,3.357476636
90,Mary Reilly,Drama|Horror|Thriller,Mary Reilly,1996,2303,2.854103343
91,Vampire in Brooklyn,Comedy|Horror|Romance,Vampire in Brooklyn,1995,1966,2.528738555
92,Beautiful Girls,Comedy|Drama|Romance,Beautiful Girls,1996,4030,3.526923077
93,Broken Arrow,Action|Adventure|Thriller,Broken Arrow (1996),1996,22104,3.094643503
94,In the Bleak Midwinter,Comedy|Drama,In the Bleak Midwinter,1995,483,3.6873706
95,"Hate (Haine, La)",Crime|Drama,"Hate (Haine, La)",1995,1963,3.99643403
96,Shopping,Action|Thriller,Shopping,1994,81,2.487654321
97,Heidi Fleiss: Hollywood Madam,Documentary,Heidi Fleiss: Hollywood Madam,1995,726,3.105371901
98,City Hall,Drama|Thriller,City Hall,1996,4115,3.221385176
99,Bottle Rocket,Adventure|Comedy|Crime|Romance,Bottle Rocket,1996,4298,3.786295952
100,Mr. Wrong,Comedy,Mr. Wrong,1996,1992,2.429467871
101,Unforgettable,Mystery|Sci-Fi|Thriller,Unforgettable,1996,1133,3.269196823
102,Happy Gilmore,Comedy,Happy Gilmore,1996,17915,3.417080659
103,The Bridges of Madison County,Drama|Romance,The Bridges of Madison County,1995,9620,3.326299376
104,Nobody Loves Me (Keiner liebt mich),Comedy|Drama,Nobody Loves Me (Keiner liebt mich),1994,134,3.444029851
105,Muppet Treasure Island,Adventure|Children|Comedy|Musical,Muppet Treasure Island,1996,6376,3.21533877
106,Catwalk,Documentary,Catwalk,1996,125,3.092
107,Headless Body in Topless Bar,Comedy|Drama|Thriller,Headless Body in Topless Bar,1995,16,2.0625
108,Braveheart,Action|Drama|War,Braveheart,1995,53769,4.042533802
109,Taxi Driver,Crime|Drama|Thriller,Taxi Driver,1976,24481,4.110575548
110,Rumble in the Bronx (Hont faan kui),Action|Adventure|Comedy|Crime,Rumble in the Bronx (Hont faan kui),1995,11890,3.412573591
111,Before and After,Drama|Mystery,Before and After,1996,1089,3.109274564
112,Margaret's Museum,Drama,Margaret's Museum,1995,247,3.619433198
113,"Happiness Is in the Field (Bonheur est dans le pré, Le)",Comedy,"Happiness Is in the Field (Bonheur est dans le pré, Le)",1995,38,3.407894737
114,Anne Frank Remembered,Documentary,Anne Frank Remembered,1995,949,3.937302424
115,The Young Poisoner's Handbook,Crime|Drama,The Young Poisoner's Handbook,1995,1264,3.589398734
116,If Lucy Fell,Comedy|Romance,If Lucy Fell,1996,1136,3.011003521
117,"Steal Big, Steal Little",Comedy,"Steal Big, Steal Little",1995,264,2.772727273
118,Race the Sun,Adventure|Comedy|Drama,Race the Sun,1996,147,2.880952381
119,The Boys of St. Vincent,Drama,The Boys of St. Vincent,1992,837,3.753285544
120,Boomerang,Comedy|Romance,Boomerang (1992),1992,3888,2.867669753
121,Chungking Express (Chung Hing sam lam),Drama|Mystery|Romance,Chungking Express (Chung Hing sam lam),1994,2309,3.969250758
122,"Star Maker, The (Uomo delle stelle, L')",Drama,"Star Maker, The (Uomo delle stelle, L')",1995,319,3.498432602
123,Flirting With Disaster,Comedy,Flirting With Disaster,1996,3518,3.755685048
124,The NeverEnding Story III,Adventure|Children|Fantasy,The NeverEnding Story III,1994,1376,2.312136628
125,"Silences of the Palace, The (Saimt el Qusur)",Drama,"Silences of the Palace, The (Saimt el Qusur)",1994,41,3.256097561
126,Jupiter's Wife,Documentary,Jupiter's Wife,1994,75,3.5
127,Pie in the Sky,Comedy|Romance,Pie in the Sky,1996,190,3.163157895
128,Angela,Drama,Angela,1995,39,3.115384615
129,Frankie Starlight,Drama|Romance,Frankie Starlight,1995,194,3.291237113
130,Jade,Thriller,Jade,1995,2123,2.773198304
131,Nueba Yol,Comedy|Drama,Nueba Yol,1995,19,2.605263158
132,Sonic Outlaws,Documentary,Sonic Outlaws,1995,36,3.652777778
133,Down Periscope,Comedy,Down Periscope,1996,6305,2.998017446
134,From the Journals of Jean Seberg,Documentary,From the Journals of Jean Seberg,1995,102,3.549019608
135,Man of the Year,Documentary,Man of the Year (1995),1995,226,3.28539823
136,The Neon Bible,Drama,The Neon Bible,1995,137,3.284671533
137,Target,Action|Drama,Target (1995),1995,41,3.073170732
138,Up Close and Personal,Drama|Romance,Up Close and Personal,1996,5073,3.293810369
139,The Birdcage,Comedy,The Birdcage,1996,22020,3.512216167
140,Shadows (Cienie),Drama,Shadows (Cienie),1988,41,3.06097561
141,Gospa,Drama,Gospa,1995,14,2.142857143
142,The Brothers McMullen,Comedy,The Brothers McMullen,1995,4505,3.477136515
143,Bad Boys,Action|Comedy|Crime|Drama|Thriller,Bad Boys (1995),1995,11975,3.250772443
144,The Amazing Panda Adventure,Adventure|Children,The Amazing Panda Adventure,1995,580,2.912068966
145,The Basketball Diaries,Drama,The Basketball Diaries,1995,4118,3.582928606
146,An Awfully Big Adventure,Drama,An Awfully Big Adventure,1995,357,2.889355742
147,Amateur,Crime|Drama|Thriller,Amateur,1994,1091,3.69431714
148,Apollo 13,Adventure|Drama|IMAX,Apollo 13,1995,47777,3.868597861
149,Rob Roy,Action|Drama|Romance|War,Rob Roy,1995,12616,3.53903773
150,The Addiction,Drama|Horror,The Addiction,1995,651,3.104454685
151,Batman Forever,Action|Adventure|Comedy|Crime,Batman Forever,1995,32867,2.894727234
152,Beauty of the Day (Belle de jour),Drama,Beauty of the Day (Belle de jour),1967,3010,3.801993355
153,Beyond Rangoon,Adventure|Drama|War,Beyond Rangoon,1995,1276,3.407915361
154,Blue in the Face,Comedy|Drama,Blue in the Face,1995,1663,3.527961515
155,Canadian Bacon,Comedy|War,Canadian Bacon,1995,2596,2.784668721
156,Casper,Adventure|Children,Casper,1995,12625,2.932
